userName,content,score
Lisna Martha,"Mudah , cepat dan ga ribet",5
Anang Jatmiko,Sering kluar sendiri g tau knp..sejak update..,3
Rolingstone Cafe,Lambat,1
Hanina Putri,"Makin lama makin lemot, mbaking bukannya mempermudah malah susah buat masuk aja. Di perbaharui bukannya tambah cepet malah makin lama.",1
Azhari Maulana,Buang buang pulsa ... dapat cs magang,1
M putra Ardiansyah,Cepat,5
Heru Suhendi,"Semenjak di perbarui malah gak bisa dibuka, hp gak pernah di root malah di sangka di root.. makin gak jelas nih.",1
0641Marianus Efaritus Apri Samsu,Ngelek sekali,1
Adelian Putra,Lemot bingit,1
Arkatama Aco',"Baru mau daftar buka rekening, tp pas masukin nomer hp malah di katakan nomer sudah terdaftar. Saya aja gak punya rekening CIMB dan belum oernah buat. Malah di kata udah terdaftar. Aneh",1
Gandi Kusmayadi,Payah banyak penurunan kualitas Transfer dari subuh sampai sore belum masuk² juga Kirim uang jadi balik lagi kaya jaman batu Buat laporan dari Buka Bank sampai Tutup Bank masih belum selesai juga Ngerjainnya pada Bercyanda sih engga serius,1
vin vin224,"Mohon maaf, kenapa ya passcodenya tidak mau keluar",5
maya sita,"Setiap dibuka pasti close sendiri atau layar hitam. Parah. Beberapa waktu lalu sempat lumayan lancar pakenya, eh skrg sama sekali ga bisa dibuka. Beberapa kali tutup buka juga sama aja. Utk apa ada mobile banking kalau akhirnya harus pake kartu ATM juga. Mengecewakan.",1
Jero Sanding,Apknya kadang bisa dibuka kadang tidak dan tidak bisa di pakai pdhal sinyal kencang..,1
Soleh Hidayat,Ok lancar,5
Fajar Sidiq,Bagus,5
Tiar Tiar,"Praktis,mudah 👍👍👍👍",5
Sintya Winarta,"Kenapa skrg suka ilang sendiri,, sulit transaksi, mau transaksi cpet baru buka udh ngilang...",1
Arstein Kross,User Friendly,5
agus sutedi,Mudah dan plexible,4
Milu Susilo,Mudah dan lengkap,5
Ade Abdurrohman,Gimana cara nya memulihkan akun CIMB niaga banking? Tanpa harus ke kantor pusat,5
Cintia Rissa,skrg tf beda bank tdk kna biaya fitur lebih bnyk,5
Oncho Supriyanto,Cash plusku tdk ada?? Padhal sudah update terbaru,3
Dede Saepudin,top dahc CMB NIAGA,5
Wawan Kurniawan,Pantesan rating lo jelek.. Sering eror. Telpon call center susah banget sampe2 pulsa abis dari 20 ribu.. Rekpon saya sampe ga bisa buat transaksi gara2 masalah SMS ga bisa2.. Bener2 payah!!!,1
Zain Hadi,Sangat bagus,5
nawawi irfan,Sangat membantu & semakin bagus,5
Keewoy Channel,Mantabs,5
Romi Wijaya,sangat bermanfaat sekali 👍👍,5
Siti Komariah,Dari kemarin nge laq terus ga bisa buka. Payah deh. Padahal aplikasi Octo Mobile 2 tahun lalu ga gini gini amat,1
mumafikoh,Lebih mudah dan efisien,5
Aihara Mei,"Susah terhubung dgn cust service, Apl jelek bgt tbtb gada sinyal pas buka apk ini",1
